TDNTuple3Agt: USESYM:true; P:4; NORMALIZE:false; sigmoid:tanh; lambda:0.5; horizon:7; AFTERSTATE:false; learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2; epsilon_init->final:0.2->0.2; gamma: 1.0; random 50 6-tuple
run; gameNum; evalQ; evalT; actionNum; trnMoves; elapsedTime; movesSecond;P ; N
0; 144000; 0.9; 0.9; 7085967; 8602658; 3088.645; 2294.1992362346596; 3; 0.0
0; 146000; 1.0; 1.0; 7184592; 8722444; 3130.427; 2295.0837058331017; 3; 0.0
0; 148000; 1.0; 1.0; 7283218; 8842255; 3171.953; 2296.1304912147184; 3; 0.0
0; 150000; 1.0; 1.0; 7381691; 8962031; 3215.262; 2295.828769164068; 3; 0.0
0; 152000; 1.0; 1.0; 7480580; 9081811; 3256.993; 2296.7749700413847; 3; 0.0
0; 154000; 1.0; 0.95; 7579147; 9201594; 3298.542; 2297.7263894169; 3; 0.0
0; 156000; 0.7; 0.8; 7677676; 9321272; 3340.643; 2298.262939200627; 3; 0.0
0; 158000; 0.8; 0.9; 7776261; 9441020; 3383.91; 2298.0105853879095; 3; 0.0
0; 160000; 1.0; 1.0; 7874742; 9560841; 3425.352; 2298.958472005213; 3; 0.0
0; 162000; 0.7; 0.6; 7973641; 9680565; 3466.99; 2299.874242498536; 3; 0.0
0; 164000; 1.0; 1.0; 8072187; 9800361; 3510.142; 2299.6753407696897; 3; 0.0
0; 166000; 3; 0.0; 8170838; 9920120; 3552.315; 2300.1445536220745; 3; 0.0
0; 168000; 0.7; -0.09999999999999998; 8269504; 10039929; 3593.837; 2301.023669131349; 3; 0.0
0; 170000; 0.6; 0.6; 8368198; 10159611; 3635.598; 2301.739081163539; 3; 0.0
0; 172000; 0.7; 0.9; 8466902; 10279342; 3680.267; 2300.6216668518887; 3; 0.0
0; 174000; 1.0; 0.9; 8565663; 10399218; 3725.128; 2299.4278317416206; 3; 0.0
0; 176000; 0.5; 0.7; 8664321; 10518996; 3776.989; 2293.975703927123; 3; 0.0
0; 178000; 1.0; 1.0; 8763227; 10638808; 3828.279; 2289.0774157264923; 3; 0.0
0; 180000; 0.9; 0.8; 8861646; 10758514; 3883.245; 2282.0208356670773; 3; 0.0
0; 182000; 1.0; 1.0; 8960235; 10878315; 3942.547; 2272.7021389979623; 3; 0.0
0; 184000; 1.0; 1.0; 9058857; 10998147; 4004.552; 2262.1399347542497; 3; 0.0
