TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, pTwist, user2
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 100, 1.0E-8, 0, 10.0, 0.04500000000000004, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 200, 1.0E-8, 0, 10.0, 0.935, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 200, 1.0E-8, 0, 10.0, 0.595, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 200, 1.0E-8, 0, 10.0, 0.22999999999999998, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 200, 1.0E-8, 0, 10.0, 0.10499999999999998, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 500, 1.0E-8, 0, 10.0, 1.0, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 500, 1.0E-8, 0, 10.0, 0.96, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 500, 1.0E-8, 0, 10.0, 0.735, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 500, 1.0E-8, 0, 10.0, 0.32999999999999996, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 500, 1.0E-8, 0, 10.0, 0.15500000000000003, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 1000, 1.0E-8, 0, 10.0, 1.0, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.965, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.825, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.43000000000000005, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 3, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.135, 9.0, 0.0
