P0: controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:true, learnFromRM: false
P0: controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:1.0->1.0, epsilon_init->final:0.0->0.0, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=2
Start state = 0001000000000100
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 245, 0, 1, +3116.00, 4, 1513, 256
1, 246, 0, 1, +3116.00, 3, 1516, 256
1, 247, 0, 3, +3116.00, 2, 1518, 256
1, 248, 0, 0, +3124.00, 3, 1521, 256
1, 249, 0, 3, +3124.00, 2, 1523, 256
1, 250, 0, 0, +3136.00, 3, 1526, 256
1, 251, 0, 3, +3156.00, 4, 1530, 256
1, 252, 0, 0, +3188.00, 4, 1534, 256
1, 253, 0, 3, +3260.00, 5, 1539, 256
1, 254, 0, 0, +3392.00, 6, 1545, 256
1, 255, 0, 1, +3392.00, 5, 1550, 256
1, 256, 0, 3, +3392.00, 4, 1554, 256
1, 257, 0, 3, +3392.00, 3, 1557, 256
1, 258, 0, 0, +3404.00, 4, 1561, 256
1, 259, 0, 3, +3404.00, 3, 1564, 256
1, 260, 0, 3, +3408.00, 3, 1567, 256
1, 261, 0, 0, +3436.00, 5, 1572, 256
1, 262, 0, 1, +3476.00, 6, 1578, 256
1, 263, 0, 0, +3492.00, 6, 1584, 256
1, 264, 0, 0, +3492.00, 5, 1589, 256
1, 265, 0, 1, +3504.00, 6, 1595, 256
1, 266, 0, 1, +3508.00, 6, 1601, 256
1, 267, 0, 1, +3516.00, 6, 1607, 256
1, 268, 0, 3, +3516.00, 5, 1612, 256
1, 269, 0, 0, +3520.00, 5, 1617, 256
1, 270, 0, 0, +3524.00, 5, 1622, 256
1, 271, 0, 3, +3524.00, 4, 1626, 256
1, 272, 0, 3, +3528.00, 4, 1630, 256
1, 273, 0, 0, +3536.00, 4, 1634, 256
1, 274, 0, 0, +3552.00, 4, 1638, 256
1, 275, 0, 1, +3552.00, 3, 1641, 256
1, 276, 0, 0, +3556.00, 3, 1644, 256
1, 277, 0, 3, +3560.00, 3, 1647, 256
1, 278, 0, 1, +3560.00, 2, 1649, 256
1, 279, 0, 3, +3564.00, 2, 1651, 256
1, 280, 0, 0, +3572.00, 2, 1653, 256
1, 281, 0, 3, +3592.00, 3, 1656, 256
1, 282, 0, 0, +3624.00, 3, 1659, 256
1, 283, 0, 3, +3700.00, 5, 1664, 256
1, 284, 0, 3, +3704.00, 5, 1669, 256
1, 285, 0, 1, +3704.00, 4, 1673, 256
1, 286, 0, 3, +3704.00, 3, 1676, 256
1, 287, 0, 0, +3716.00, 4, 1680, 256
1, 288, 0, 0, +3724.00, 4, 1684, 256
1, 289, 0, 3, +3740.00, 4, 1688, 256
1, 290, 0, 0, +3740.00, 3, 1691, 256
1, 291, 0, 0, +3744.00, 3, 1694, 256
1, 292, 0, 0, +3744.00, 2, 1696, 256
1, 293, 0, 1, +3752.00, 3, 1699, 256
1, 294, 0, 0, +3792.00, 4, 1703, 256
1, 295, 0, 1, +3812.00, 5, 1708, 256
1, 296, 0, 3, +3820.00, 5, 1713, 256
1, 297, 0, 0, +3824.00, 5, 1718, 256
1, 298, 0, 0, +3832.00, 5, 1723, 256
1, 299, 0, 3, +3848.00, 5, 1728, 256
1, 300, 0, 1, +3848.00, 4, 1732, 256
1, 301, 0, 0, +3884.00, 5, 1737, 256
1, 302, 0, 1, +3952.00, 6, 1743, 256
1, 303, 0, 1, +4084.00, 7, 1750, 256
1, 304, 0, 1, +4092.00, 7, 1757, 256
1, 305, 0, 1, +4096.00, 7, 1764, 256
1, 306, 0, 0, +4352.00, 7, 1771, 256
1, 307, 0, 1, +4872.00, 8, 1779, 512
1, 308, 0, 0, +4892.00, 9, 1788, 512
1, 309, 0, 3, +4892.00, 8, 1796, 512
1, 310, 0, 1, +4892.00, 7, 1803, 512
1, 311, 0, 0, +4896.00, 7, 1810, 512
1, 312, 0, 0, +4900.00, 7, 1817, 512
1, 313, 0, 1, +4904.00, 7, 1824, 512
1, 314, 0, 0, +4912.00, 7, 1831, 512
1, 315, 0, 0, +4912.00, 6, 1837, 512
1, 316, 0, 1, +4916.00, 6, 1843, 512
1, 317, 0, 3, +4916.00, 5, 1848, 512
1, 318, 0, 3, +4916.00, 4, 1852, 512
1, 319, 0, 0, +4928.00, 5, 1857, 512
1, 320, 0, 3, +4932.00, 5, 1862, 512
1, 321, 0, 1, +4932.00, 4, 1866, 512
1, 322, 0, 0, +4944.00, 5, 1871, 512
1, 323, 0, 1, +4952.00, 5, 1876, 512
1, 324, 0, 0, +4968.00, 5, 1881, 512
1, 325, 0, 3, +5004.00, 6, 1887, 512
1, 326, 0, 3, +5008.00, 6, 1893, 512
1, 327, 0, 0, +5032.00, 7, 1900, 512
1, 328, 0, 1, +5032.00, 6, 1906, 512
1, 329, 0, 3, +5032.00, 5, 1911, 512
1, 330, 0, 3, +5036.00, 5, 1916, 512
1, 331, 0, 0, +5044.00, 6, 1922, 512
1, 332, 0, 3, +5044.00, 5, 1927, 512
1, 333, 0, 0, +5052.00, 5, 1932, 512
1, 334, 0, 3, +5072.00, 6, 1938, 512
1, 335, 0, 0, +5104.00, 6, 1944, 512
1, 336, 0, 1, +5108.00, 6, 1950, 512
1, 337, 0, 0, +5116.00, 6, 1956, 512
1, 338, 0, 3, +5120.00, 6, 1962, 512
1, 339, 0, 1, +5120.00, 5, 1967, 512
1, 340, 0, 0, +5124.00, 5, 1972, 512
1, 341, 0, 1, +5136.00, 6, 1978, 512
1, 342, 0, 0, +5152.00, 6, 1984, 512
1, 343, 0, 3, +5152.00, 5, 1989, 512
1, 344, 0, 3, +5152.00, 4, 1993, 512
1, 345, 0, 1, +5156.00, 4, 1997, 512
1, 346, 0, 1, +5156.00, 3, 2000, 512
1, 347, 0, 1, +5156.00, 2, 2002, 512
1, 348, 0, 0, +5176.00, 4, 2006, 512
1, 349, 0, 3, +5176.00, 3, 2009, 512
1, 350, 0, 3, +5180.00, 3, 2012, 512
1, 351, 0, 1, +5180.00, 2, 2014, 512
1, 352, 0, 0, +5192.00, 3, 2017, 512
1, 353, 0, 1, +5212.00, 4, 2021, 512
1, 354, 0, 0, +5244.00, 4, 2025, 512
1, 355, 0, 0, +5308.00, 4, 2029, 512
1, 356, 0, 1, +5312.00, 4, 2033, 512
1, 357, 0, 0, +5320.00, 4, 2037, 512
1, 358, 0, 1, +5328.00, 5, 2042, 512
1, 359, 0, 1, +5336.00, 5, 2047, 512
1, 360, 0, 1, +5336.00, 4, 2051, 512
1, 361, 0, 1, +5340.00, 4, 2055, 512
1, 362, 0, 0, +5356.00, 4, 2059, 512
1, 363, 0, 1, +5364.00, 4, 2063, 512
1, 364, 0, 1, +5368.00, 4, 2067, 512
1, 365, 0, 3, +5368.00, 3, 2070, 512
1, 366, 0, 1, +5368.00, 2, 2072, 512
1, 367, 0, 0, +5376.00, 2, 2074, 512
1, 368, 0, 1, +5400.00, 4, 2078, 512
1, 369, 0, 0, +5440.00, 5, 2083, 512
1, 370, 0, 1, +5528.00, 7, 2090, 512
