controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
8, 90000, 0.6666666666666666, 0.75, 0.0, 2251682, 1035841
8, 95000, 0.6666666666666666, 0.6666666666666666, 0.0, 2358330, 1084165
8, 100000, 1.0, 0.9166666666666666, 0.0, 2463686, 1131843
9, 5000, 0.6666666666666666, 0.3333333333333333, 0.0, 139688, 64844
9, 10000, 0.0, 0.16666666666666666, 0.0, 279470, 129735
9, 15000, 0.6666666666666666, 0.25, 0.0, 419578, 194789
9, 20000, 0.3333333333333333, 0.16666666666666666, 0.0, 559306, 259653
9, 25000, 0.6666666666666666, 0.49999999999999994, 0.0, 698756, 324378
9, 30000, 1.0, 0.0, 0.0, 835330, 387665
9, 35000, 0.6666666666666666, 0.41666666666666663, 0.0, 968836, 449418
9, 40000, 0.3333333333333333, 0.3333333333333333, 0.0, 1098378, 509189
9, 45000, 0.0, 0.16666666666666666, 0.0, 1225262, 567631
9, 50000, 0.6666666666666666, 0.41666666666666663, 0.0, 1349476, 624738
9, 55000, 0.3333333333333333, 0.25, 0.0, 1470430, 680215
9, 60000, 0.3333333333333333, 0.16666666666666666, 0.0, 1589332, 734666
9, 65000, 0.3333333333333333, 0.5833333333333333, 0.0, 1704664, 787332
9, 70000, 0.6666666666666666, 0.5, 0.0, 1818232, 839116
9, 75000, 1.0, 0.6666666666666666, 0.0, 1930224, 890112
9, 80000, 0.6666666666666666, 0.6666666666666666, 0.0, 2037104, 938552
9, 85000, 1.0, 0.41666666666666663, 0.0, 2144536, 987268
9, 90000, 1.0, 0.8333333333333333, 0.0, 2248754, 1034377
9, 95000, 1.0, 0.8333333333333334, 0.0, 2354612, 1082306
9, 100000, 0.6666666666666666, 0.5833333333333333, 0.0, 2456228, 1128114
10, 5000, 0.6666666666666666, 0.3333333333333333, 0.0, 139868, 64934
10, 10000, 0.6666666666666666, 0.3333333333333333, 0.0, 280102, 130051
10, 15000, 0.6666666666666666, 0.08333333333333333, 0.0, 419386, 194693
10, 20000, 0.0, 0.16666666666666666, 0.0, 559084, 259542
10, 25000, 0.0, 0.25, 0.0, 698248, 324124
10, 30000, 0.3333333333333333, 0.16666666666666666, 0.0, 834838, 387419
10, 35000, 0.0, 0.25, 0.0, 967816, 448908
10, 40000, 0.3333333333333333, 0.0, 0.0, 1097388, 508694
10, 45000, 0.0, 0.25, 0.0, 1223882, 566941
10, 50000, 0.0, 0.49999999999999994, 0.0, 1347550, 623775
10, 55000, 0.0, 0.08333333333333333, 0.0, 1467566, 678783
10, 60000, 0.0, 0.16666666666666666, 0.0, 1585694, 732847
10, 65000, 0.6666666666666666, 0.6666666666666666, 0.0, 1699396, 784698
10, 70000, 1.0, 0.6666666666666666, 0.0, 1810934, 835467
10, 75000, 1.0, 0.75, 0.0, 1920518, 885259
10, 80000, 1.0, 0.5833333333333333, 0.0, 2028218, 934109
10, 85000, 0.6666666666666666, 0.6666666666666666, 0.0, 2135510, 982755
10, 90000, 0.3333333333333333, 1.0, 0.0, 2241014, 1030507
10, 95000, 0.6666666666666666, 0.8333333333333333, 0.0, 2341766, 1075883
10, 100000, 1.0, 0.6666666666666666, 0.0, 2445536, 1122768
11, 5000, 0.6666666666666666, 0.3333333333333333, 0.0, 139852, 64926
11, 10000, 0.0, 0.0, 0.0, 280112, 130056
11, 15000, 0.6666666666666666, 0.25, 0.0, 419930, 194965
11, 20000, 0.6666666666666666, 0.08333333333333333, 0.0, 559830, 259915
11, 25000, 0.6666666666666666, 0.16666666666666666, 0.0, 698990, 324495
11, 30000, 0.3333333333333333, 0.08333333333333333, 0.0, 834886, 387443
11, 35000, 0.0, 0.16666666666666666, 0.0, 967168, 448584
11, 40000, 0.0, 0.41666666666666663, 0.0, 1097948, 508974
11, 45000, 0.0, 0.0, 0.0, 1225080, 567540
11, 50000, 0.0, 0.16666666666666666, 0.0, 1348986, 624493
11, 55000, 0.3333333333333333, 0.25, 0.0, 1470206, 680103
11, 60000, 0.0, 0.3333333333333333, 0.0, 1588488, 734244
11, 65000, 0.0, 0.5, 0.0, 1704238, 787119
11, 70000, 0.0, 0.16666666666666666, 0.0, 1817176, 838588
11, 75000, 0.6666666666666666, 0.6666666666666666, 0.0, 1927098, 888549
