controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
9, 80000, 0.6666666666666666, 1.0, 0.0, 1016428, 936428
9, 85000, 1.0, 0.8333333333333333, 0.0, 1070393, 985393
9, 90000, 1.0, 1.0, 0.0, 1120356, 1030356
9, 95000, 1.0, 1.0, 0.0, 1169829, 1074829
9, 100000, 1.0, 1.0, 0.0, 1218853, 1118853
10, 5000, 0.3333333333333333, 0.16666666666666666, 0.0, 69825, 64825
10, 10000, 0.6666666666666666, 0.25, 0.0, 139700, 129700
10, 15000, 0.6666666666666666, 0.7499999999999999, 0.0, 209567, 194567
10, 20000, 0.6666666666666666, 0.41666666666666663, 0.0, 279279, 259279
10, 25000, 0.3333333333333333, 0.16666666666666666, 0.0, 349024, 324024
10, 30000, 0.0, 0.0, 0.0, 417335, 387335
10, 35000, 1.0, 0.49999999999999994, 0.0, 483920, 448920
10, 40000, 0.3333333333333333, 0.5, 0.0, 548424, 508424
10, 45000, 0.3333333333333333, 0.25, 0.0, 611621, 566621
10, 50000, 1.0, 0.08333333333333333, 0.0, 672930, 622930
10, 55000, 1.0, 0.8333333333333333, 0.0, 732979, 677979
10, 60000, 0.6666666666666666, 0.5, 0.0, 792162, 732162
10, 65000, 1.0, 0.6666666666666666, 0.0, 849686, 784686
10, 70000, 1.0, 0.75, 0.0, 906033, 836033
10, 75000, 0.6666666666666666, 0.9166666666666666, 0.0, 962257, 887257
10, 80000, 1.0, 1.0, 0.0, 1016713, 936713
10, 85000, 1.0, 0.9166666666666666, 0.0, 1069848, 984848
10, 90000, 1.0, 1.0, 0.0, 1120726, 1030726
10, 95000, 1.0, 1.0, 0.0, 1170267, 1075267
10, 100000, 1.0, 1.0, 0.0, 1213406, 1113406
11, 5000, 1.0, 0.25, 0.0, 69969, 64969
11, 10000, 0.0, 0.25, 0.0, 139819, 129819
11, 15000, 0.0, 0.08333333333333333, 0.0, 209402, 194402
11, 20000, 0.3333333333333333, 0.6666666666666666, 0.0, 279039, 259039
11, 25000, 0.6666666666666666, 0.16666666666666666, 0.0, 348940, 323940
11, 30000, 0.6666666666666666, 0.5833333333333333, 0.0, 417063, 387063
11, 35000, 1.0, 0.3333333333333333, 0.0, 483529, 448529
11, 40000, 1.0, 0.25, 0.0, 548292, 508292
11, 45000, 0.6666666666666666, 0.3333333333333333, 0.0, 611486, 566486
11, 50000, 0.6666666666666666, 0.41666666666666663, 0.0, 673511, 623511
11, 55000, 1.0, 0.6666666666666666, 0.0, 734031, 679031
11, 60000, 1.0, 0.7499999999999999, 0.0, 793091, 733091
11, 65000, 0.6666666666666666, 0.5833333333333333, 0.0, 850676, 785676
11, 70000, 0.6666666666666666, 0.75, 0.0, 907687, 837687
11, 75000, 1.0, 0.6666666666666666, 0.0, 963170, 888170
11, 80000, 1.0, 1.0, 0.0, 1017567, 937567
11, 85000, 1.0, 0.9166666666666666, 0.0, 1070704, 985704
11, 90000, 1.0, 1.0, 0.0, 1121513, 1031513
11, 95000, 1.0, 1.0, 0.0, 1168702, 1073702
11, 100000, 0.6666666666666666, 0.8333333333333333, 0.0, 1220782, 1120782
12, 5000, 0.3333333333333333, 0.25, 0.0, 69896, 64896
12, 10000, 0.3333333333333333, 0.41666666666666663, 0.0, 139467, 129467
12, 15000, 0.3333333333333333, 0.25, 0.0, 209176, 194176
12, 20000, 1.0, 0.3333333333333333, 0.0, 279122, 259122
12, 25000, 1.0, 0.25, 0.0, 348627, 323627
12, 30000, 1.0, 0.5, 0.0, 416472, 386472
12, 35000, 0.3333333333333333, 0.41666666666666663, 0.0, 482304, 447304
12, 40000, 0.3333333333333333, 0.5, 0.0, 546877, 506877
12, 45000, 0.6666666666666666, 0.41666666666666663, 0.0, 609729, 564729
12, 50000, 0.6666666666666666, 0.5, 0.0, 671201, 621201
12, 55000, 0.0, 0.5833333333333333, 0.0, 731731, 676731
12, 60000, 1.0, 0.5833333333333334, 0.0, 790653, 730653
12, 65000, 1.0, 0.41666666666666663, 0.0, 848981, 783981
12, 70000, 1.0, 0.8333333333333333, 0.0, 905888, 835888
12, 75000, 1.0, 0.9166666666666666, 0.0, 962231, 887231
12, 80000, 1.0, 1.0, 0.0, 1017672, 937672
12, 85000, 1.0, 1.0, 0.0, 1071583, 986583
12, 90000, 1.0, 1.0, 0.0, 1124494, 1034494
12, 95000, 1.0, 1.0, 0.0, 1172390, 1077390
12, 100000, 1.0, 1.0, 0.0, 1217785, 1117785
13, 5000, 0.0, 0.25, 0.0, 69723, 64723
13, 10000, 0.6666666666666666, 0.3333333333333333, 0.0, 139290, 129290
13, 15000, 0.3333333333333333, 0.3333333333333333, 0.0, 209133, 194133
13, 20000, 0.3333333333333333, 0.5833333333333333, 0.0, 279018, 259018
13, 25000, 0.6666666666666666, 0.6666666666666666, 0.0, 348600, 323600
