controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.36, horizon:5, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:0.5->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
2, 295000, 0.4375, -0.85, 7689314, 7689314
2, 300000, 0.21875, -0.35, 7841801, 7841801
2, 305000, 0.6875, -0.050000000000000044, 7986520, 7986520
2, 310000, 0.34375, 0.8500000000000001, 8126770, 8126770
2, 315000, 0.28125, -0.775, 8271942, 8271942
2, 320000, 0.0, -0.3, 8425029, 8425029
2, 325000, 0.3125, -0.85, 8578924, 8578924
2, 330000, 0.21875, -0.6, 8726569, 8726569
2, 335000, 0.0625, -0.625, 8879681, 8879681
2, 340000, 0.0, -0.65, 9043916, 9043916
2, 345000, 0.125, -0.4, 9202326, 9202326
2, 350000, 0.1875, -0.95, 9368707, 9368707
2, 355000, -0.1875, -0.975, 9519195, 9519195
2, 360000, 0.84375, 0.35000000000000003, 9670013, 9670013
2, 365000, 0.25, -1.0, 9824700, 9824700
2, 370000, 0.09375, -0.475, 9987357, 9987357
2, 375000, 0.5, -0.325, 10157199, 10157199
2, 380000, 0.5625, -0.675, 10321815, 10321815
2, 385000, 0.5, -0.675, 10484106, 10484106
2, 390000, 0.4375, 0.8500000000000001, 10633874, 10633874
2, 395000, 0.125, -0.725, 10791387, 10791387
2, 400000, 0.5, -0.35, 10971426, 10971426
2, 405000, 0.125, -0.2, 11145844, 11145844
2, 410000, 0.0, -0.325, 11335024, 11335024
2, 415000, -0.0625, -0.125, 11522575, 11522575
2, 420000, 0.59375, 0.875, 11678615, 11678615
2, 425000, 0.625, 0.47500000000000003, 11834197, 11834197
2, 430000, -0.0625, -0.25, 11987297, 11987297
2, 435000, 0.40625, -0.4, 12176746, 12176746
2, 440000, 0.0625, -0.225, 12367407, 12367407
2, 445000, 0.5, -0.275, 12553157, 12553157
2, 450000, -0.03125, -0.2, 12743306, 12743306
2, 455000, 0.25, -0.25, 12942068, 12942068
2, 460000, -0.0625, -0.15, 13126397, 13126397
2, 465000, 0.4375, -0.15, 13327153, 13327153
2, 470000, 0.21875, -0.275, 13527827, 13527827
2, 475000, 0.25, -0.35, 13728445, 13728445
2, 480000, 0.53125, 0.8, 13895857, 13895857
2, 485000, 0.5, 0.95, 14057919, 14057919
2, 490000, 0.0, -0.925, 14261454, 14261454
2, 495000, -0.03125, -0.7, 14469277, 14469277
2, 500000, 0.25, -0.975, 14674805, 14674805
