controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.25, horizon:4, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
2, 305000, 0.35, -0.675, 8393765, 8393765
2, 310000, 0.9, 0.9249999999999999, 8547147, 8547147
2, 315000, 0.85, 0.95, 8700281, 8700281
2, 320000, 0.675, -0.725, 8863046, 8863046
2, 325000, 0.55, 0.725, 9016856, 9016856
2, 330000, 0.4, 0.22499999999999998, 9169134, 9169134
2, 335000, 0.6, 0.8999999999999999, 9313445, 9313445
2, 340000, 0.525, 0.19999999999999996, 9466239, 9466239
2, 345000, 0.55, 0.8999999999999999, 9616175, 9616175
2, 350000, 0.4, 0.07499999999999996, 9771134, 9771134
2, 355000, 0.6, 1.0, 9928359, 9928359
2, 360000, 0.6, 0.95, 10085325, 10085325
2, 365000, 0.575, 1.0, 10238847, 10238847
2, 370000, 0.6, 0.95, 10396882, 10396882
2, 375000, 0.6, 1.0, 10551466, 10551466
2, 380000, 0.6, 0.95, 10701882, 10701882
2, 385000, 0.6, 0.9249999999999999, 10860175, 10860175
2, 390000, 0.6, 0.8999999999999999, 11016738, 11016738
2, 395000, 0.925, 1.0, 11172211, 11172211
2, 400000, 0.9, 0.8, 11328693, 11328693
2, 405000, 0.775, 0.8999999999999999, 11480422, 11480422
2, 410000, 0.75, 0.975, 11638229, 11638229
2, 415000, 0.875, 1.0, 11792692, 11792692
2, 420000, 0.875, 1.0, 11940636, 11940636
2, 425000, 0.5, 1.0, 12085876, 12085876
2, 430000, 0.875, 1.0, 12244037, 12244037
2, 435000, 0.85, 0.95, 12395473, 12395473
2, 440000, 0.8, 0.975, 12547684, 12547684
2, 445000, 0.725, 1.0, 12691813, 12691813
2, 450000, 0.9, 0.975, 12831592, 12831592
2, 455000, 0.8, 0.975, 12972803, 12972803
2, 460000, 0.75, 0.975, 13121905, 13121905
2, 465000, 0.725, 1.0, 13276790, 13276790
2, 470000, 0.9, 0.95, 13421947, 13421947
2, 475000, 0.775, 0.95, 13580300, 13580300
2, 480000, 0.775, 1.0, 13730950, 13730950
2, 485000, 0.875, 0.975, 13876881, 13876881
2, 490000, 0.8, 0.9249999999999999, 14005095, 14005095
2, 495000, 0.925, 0.85, 14156851, 14156851
2, 500000, 0.875, 1.0, 14299264, 14299264
