controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false;;;;;;;;;;;
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=1;;;;;;;;;;;evalQ=evalAB5, evalT=evalAB
run, gameNum, evalQ, evalT, actionNum, trnMoves;;;;;;;;;;;
2, 240000, 0.5, -0.07500000000000001, 6413616, 6933844;;;;;;;;;;;
2, 245000, 0.9, 0.25000000000000006, 6569445, 7098366;;;;;;;;;;;
2, 250000, 0.475, -0.25, 6729215, 7266698;;;;;;;;;;;
2, 255000, 0.325, -0.875, 6895375, 7441512;;;;;;;;;;;
2, 260000, 0.375, -0.9, 7049619, 7603582;;;;;;;;;;;
2, 265000, 0.375, -0.85, 7208686, 7770568;;;;;;;;;;;
2, 270000, 0.375, -0.75, 7370409, 7940244;;;;;;;;;;;
2, 275000, 0.725, 0.22499999999999998, 7535181, 8112811;;;;;;;;;;;
2, 280000, 0.35, -0.5, 7706659, 8292342;;;;;;;;;;;
2, 285000, 0.5, -0.050000000000000044, 7877356, 8470812;;;;;;;;;;;
2, 290000, 0.775, 0.0, 8047641, 8648701;;;;;;;;;;;
2, 295000, 0.8, -0.07500000000000001, 8222088, 8830738;;;;;;;;;;;
2, 300000, 0.825, 0.125, 8391024, 9006798;;;;;;;;;;;
2, 305000, 0.775, -0.07500000000000001, 8559224, 9181985;;;;;;;;;;;
2, 310000, 0.375, -0.825, 8724858, 9354187;;;;;;;;;;;
2, 315000, 0.4, -0.875, 8893303, 9529280;;;;;;;;;;;
2, 320000, 0.425, -0.22500000000000003, 9069650, 9712175;;;;;;;;;;;
2, 325000, 0.4, -0.875, 9246259, 9895391;;;;;;;;;;;
2, 330000, 0.4, -0.9, 9419351, 10074633;;;;;;;;;;;
2, 335000, 0.325, -0.95, 9600159, 10261795;;;;;;;;;;;
2, 340000, 0.35, -0.825, 9782189, 10449923;;;;;;;;;;;
2, 345000, 0.4, -0.925, 9961940, 10635574;;;;;;;;;;;
2, 350000, 0.4, -0.875, 10143556, 10822942;;;;;;;;;;;
2, 355000, 0.375, -0.85, 10324826, 11009672;;;;;;;;;;;
2, 360000, 0.325, -0.975, 10494978, 11184938;;;;;;;;;;;
2, 365000, 0.25, -0.775, 10652186, 11346575;;;;;;;;;;;
2, 370000, 0.5, -0.65, 10825089, 11524168;;;;;;;;;;;
2, 375000, 0.625, -0.725, 11003906, 11707732;;;;;;;;;;;
2, 380000, 0.55, -0.825, 11182526, 11890977;;;;;;;;;;;
2, 385000, 0.525, -0.875, 11363409, 12076234;;;;;;;;;;;
2, 390000, 0.35, -0.775, 11544747, 12261695;;;;;;;;;;;
2, 395000, 0.525, -0.65, 11728931, 12449924;;;;;;;;;;;
2, 400000, 0.475, -0.7, 11912798, 12637679;;;;;;;;;;;
2, 405000, 0.525, -0.55, 12092925, 12821434;;;;;;;;;;;
2, 410000, 0.45, -0.675, 12279223, 13011184;;;;;;;;;;;
2, 415000, 0.65, -0.525, 12468871, 13204333;;;;;;;;;;;
2, 420000, 0.525, -0.5, 12660827, 13399519;;;;;;;;;;;
2, 425000, 0.55, -0.725, 12850166, 13591847;;;;;;;;;;;
2, 430000, 0.65, -0.6, 13039556, 13783981;;;;;;;;;;;
2, 435000, 0.5, -0.725, 13230833, 13977912;;;;;;;;;;;
2, 440000, 0.575, -0.825, 13425159, 14174685;;;;;;;;;;;
2, 445000, 0.5, -0.725, 13619287, 14371037;;;;;;;;;;;
2, 450000, 0.55, -0.775, 13815930, 14569841;;;;;;;;;;;
2, 455000, 0.15, -0.825, 14013885, 14769726;;;;;;;;;;;
2, 460000, 0.15, -0.675, 14212555, 14970151;;;;;;;;;;;
2, 465000, 0.225, -0.675, 14412800, 15171920;;;;;;;;;;;
2, 470000, 0.4, -0.575, 14613027, 15373453;;;;;;;;;;;
2, 475000, 0.5, -0.525, 14815512, 15577090;;;;;;;;;;;
2, 480000, 0.575, -0.775, 15017828, 15780314;;;;;;;;;;;
2, 485000, 0.325, -0.725, 15224659, 15987853;;;;;;;;;;;
2, 490000, 0.25, -0.85, 15431886, 16195570;;;;;;;;;;;
2, 495000, 0.2, -0.8, 15640228, 16404216;;;;;;;;;;;
2, 500000, 0.35, -0.775, 15849371, 16613477;;;;;;;;;;;
